Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
chr1_+_938709_938775	23	62	61	22	22	77	9
chr1_+_945331_945388	21	27	230	46	40	116	50
chr1_+_945399_945413	29	10	27	20	31	32	19
chr1_+_945472_945544	21	23	118	28	19	70	27
chr1_+_968522_968649	29	10	27	20	31	32	19
chr1_+_1207351_1207513	10	6	7	6	9	8	16
chr1_+_1250005_1250049	58	80	100	56	63	49	197
chr1_+_1250115_1250127	34	45	59	34	33	30	114
chr1_+_1250152_1250169	58	80	101	56	63	49	197
chr1_+_1360765_1361036	33	8	29	10	89	17	25
chr1_+_1374931_1374931	4456	3996	1935	4077	9034	2969	14622
chr1_+_1396975_1397019	88	62	66	87	92	118	70
chr1_+_1397021_1397071	88	62	66	87	92	118	70
chr1_+_1437358_1437395	28	51	19	24	27	27	16
chr1_+_1437400_1437481	38	59	25	38	33	36	25
chr1_+_1437734_1437772	30	53	20	27	28	29	18
chr1_+_1540657_1540781	11439	5534	4836	8727	10171	6601	22505
chr1_+_1557419_1557448	4	4	5	4	7	4	4
chr1_+_1940605_1940722	7	6	6	5	7	8	8
chr1_+_1971762_1971947	12	11	44	8	21	7	198
chr1_+_1994943_1994945	10	10	43	8	24	7	198
chr1_+_2026014_2026014	11	14	65	10	31	8	204
chr1_+_2149993_2150066	9	7	9	7	9	7	7
chr1_+_2313060_2313131	37	70	58	71	44	54	26
chr1_+_2313135_2313150	43	91	154	109	41	106	66
chr1_+_2313152_2313188	46	110	162	103	44	106	59
chr1_+_2397613_2397621	10	15	14	8	11	8	7
chr1_+_2975590_2975682	6	7	6	7	20	7	6
chr1_+_3360880_3361250	24	10	19	31	21	13	16
chr1_+_3378030_3378059	33	13	28	47	33	17	26
chr1_+_3558958_3559015	8	7	7	8	8	5	5
chr1_+_3597092_3597145	8	7	6	9	8	5	5
chr1_+_3763704_3763704	9	37	7	8	7	8	9
chr1_+_4614528_4614651	7	6	6	6	13	6	6
chr1_+_4614964_4614964	7	6	6	6	10	5	5
chr1_+_5975286_5975341	8	6	14	10	7	8	10
chr1_+_5975345_5975392	8	6	14	10	7	8	10
chr1_+_6008956_6008993	17	89	13	16	13	15	17
chr1_+_6008999_6009070	8	6	14	10	7	8	10
chr1_+_6562634_6562659	23	17	12	14	21	12	41
chr1_+_6562681_6562723	22	17	12	11	18	9	33
chr1_+_6607511_6607511	18	17	15	36	22	29	23
chr1_+_6607796_6607865	11	20	18	23	14	16	20
chr1_+_6767968_6768188	10	6	10	6	13	7	14
chr1_+_7753913_7754014	120	41	222	206	30	177	34
chr1_+_7767300_7767524	11	9	13	11	14	12	30
chr1_+_7944299_7944320	790	850	1640	931	856	1155	496
chr1_+_7944322_7944333	790	850	1640	931	856	1155	496
chr1_+_7944341_7944353	765	791	1541	897	792	1107	437
chr1_+_7944356_7944411	862	918	1713	1010	932	1233	557
chr1_+_8928508_8928532	28	11	15	22	28	18	23
chr1_+_9217384_9217420	10	5	8	18	20	17	10
chr1_+_9217444_9217565	27	16	15	41	56	23	28
chr1_+_9222489_9222562	10	5	8	18	20	17	10
chr1_+_9275518_9275531	55	10	43	22	37	38	19
chr1_+_9275542_9275570	46	7	57	32	48	37	22
chr1_+_9634368_9634415	10	82	11	14	12	22	14
chr1_+_9926072_9926094	23708	16236	10888	26757	15432	17173	30329
chr1_+_10015577_10015627	26	29	20	30	27	36	17
chr1_+_10015736_10015864	15	11	12	21	13	24	10
chr1_+_10193267_10193449	6	12	7	7	15	6	33
chr1_+_10381671_10381761	308	73	387	99	16	320	56
chr1_+_10412745_10412745	33	43	46	34	35	35	221
chr1_+_10413016_10413144	32	57	57	33	36	32	275
chr1_+_10413361_10413447	23	46	46	23	27	21	179
chr1_+_10432362_10432362	60	20	26	30	37	41	58
chr1_+_10457579_10457618	19	30	30	21	21	22	24
chr1_+_10995265_10995330	32	179	44	44	52	54	58
chr1_+_11171967_11172009	7	7	6	7	7	7	8
chr1_+_11255831_11255975	27	22	20	25	20	20	34
chr1_+_11256089_11256175	24	20	18	19	18	19	29
chr1_+_11646735_11646854	23010	19484	11033	29132	15691	18614	30774
chr1_+_11674365_11674416	1546	3512	856	1837	6099	1757	8560
